Страна,Название фильма,Год,Жанр,Рейтинг,Индекс
Россия,Салют-7,2017,драма,7.7,695
Россия,Салют-7,2017,исторический,7.7,695
Россия,Свет,2023,драма,7.7,613
Россия,Сводишь с ума,2025,драма,7.6,737
Россия,Сводишь с ума,2025,комедия,7.6,737
Россия,Сводишь с ума,2025,фэнтези,7.6,737
Россия,Семь черных бумаг,2024,военный,7.7,669
Россия,Сестренка,2019,военный,7.5,965
Россия,Сестренка,2019,драма,7.5,965
Россия,Сестры,2001,боевик,7.7,663
Россия,Сестры,2001,драма,7.7,663
Россия,Сибирский цирюльник,1998,драма,7.7,706
Россия,Сибирский цирюльник,1998,исторический,7.7,706
Россия,Сибирский цирюльник,1998,мелодрама,7.7,706
Россия,Страсти по Матвею,2023,комедия,7.6,895
Россия,Страсти по Матвею,2023,мелодрама,7.6,895
Россия,Хоккейные папы,2023,комедия,7.6,872
Россия,Хоккейные папы,2023,семейный,7.6,872
Россия,Хоккейные папы,2023,спорт,7.6,872
Румыния,Мама,1976,мюзикл,7.7,675
Румыния,Мама,1976,семейный,7.7,675
Румыния,Мама,1976,сказка,7.7,675
Сербия,Мотылек,2017,биография,7.6,717
Сербия,Мотылек,2017,драма,7.6,717
Сербия,Мотылек,2017,криминал,7.6,717
Сингапур,Звездные Войны: Войны клонов,2008,анимация,7.9,420
Сингапур,Звездные Войны: Войны клонов,2008,приключения,7.9,420
Сингапур,Звездные Войны: Войны клонов,2008,фантастика,7.9,420
СССР,12 стульев,1976,детектив,8.1,194
СССР,12 стульев,1976,комедия,8.1,194
СССР,А зори здесь тихие,1972,военный,8.2,153
СССР,А зори здесь тихие,1972,драма,8.2,153
СССР,А зори здесь тихие,1972,исторический,8.2,153
СССР,Адмирал Ушаков,1953,биография,7.6,847
СССР,Адмирал Ушаков,1953,драма,7.6,847
СССР,Аленький цветочек,1952,анимация,7.8,515
СССР,Аленький цветочек,1952,фэнтези,7.8,515
СССР,Андрей Рублев,1966,драма,7.7,611
СССР,Андрей Рублев,1966,исторический,7.7,611
СССР,Асса,1987,драма,7.7,703
СССР,Асса,1987,исторический,7.7,703
СССР,Асса,1987,мелодрама,7.7,703
СССР,Асса,1987,мюзикл,7.7,703
СССР,Баллада о солдате,1959,военный,8,313
СССР,Баллада о солдате,1959,драма,8,313
СССР,Баллада о солдате,1959,мелодрама,8,313
СССР,Без вины виноватые,1945,драма,7.6,724
СССР,Безымянная звезда,1978,драма,7.8,546
СССР,Безымянная звезда,1978,комедия,7.8,546
СССР,Бриллиантовая рука,1968,комедия,8.4,86
СССР,Бриллиантовая рука,1968,криминал,8.4,86
СССР,Бриллиантовая рука,1968,приключения,8.4,86
СССР,Броненосец «Потемкин»,1925,военный,7.8,455
СССР,Броненосец «Потемкин»,1925,драма,7.8,455
СССР,Броненосец «Потемкин»,1925,исторический,7.8,455
СССР,В добрый час,1956,драма,7.8,508
СССР,В добрый час,1956,мелодрама,7.8,508
СССР,В некотором царстве…,1957,анимация,7.6,808
СССР,В стране невыученных уроков,1969,анимация,7.7,589
СССР,В стране невыученных уроков,1969,короткометражный,7.7,589
СССР,В стране невыученных уроков,1969,семейный,7.7,589
СССР,В яранге горит огонь,1956,анимация,7.8,514
СССР,В яранге горит огонь,1956,короткометражный,7.8,514
СССР,Вам и не снилось,1980,драма,7.7,712
СССР,Василиса прекрасная,1939,детский,7.7,671
СССР,Василиса прекрасная,1939,семейный,7.7,671
СССР,Василиса прекрасная,1939,сказка,7.7,671
СССР,Верные друзья,1954,комедия,7.6,840
СССР,Верные друзья,1954,мелодрама,7.6,840
СССР,Весна на Заречной улице,1956,мелодрама,7.9,395
СССР,Волк и теленок,1984,анимация,7.9,383
СССР,Волк и теленок,1984,семейный,7.9,383
СССР,Волк и теленок,1984,сказка,7.9,383
СССР,Волшебный магазин,1953,анимация,7.6,844
СССР,Волшебный магазин,1953,короткометражный,7.6,844
СССР,Вступление,1963,драма,7.6,730
СССР,Вступление,1963,семейный,7.6,730
СССР,Гадкий утёнок,1955,анимация,7.7,603
СССР,Гадкий утёнок,1955,короткометражный,7.7,603
СССР,Гуси-лебеди,1949,анимация,7.5,947
СССР,Гуси-лебеди,1949,короткометражный,7.5,947
СССР,Д'Артаньян и три мушкетёра,1979,мюзикл,7.9,423
СССР,Д'Артаньян и три мушкетёра,1979,приключения,7.9,423
СССР,Девочка и крокодил,1956,комедия,7.7,616
СССР,Девчата,1961,комедия,7.9,352
СССР,Девчата,1961,мелодрама,7.9,352
СССР,Дело было в Пенькове,1957,драма,7.7,632
СССР,Дело было в Пенькове,1957,мелодрама,7.7,632
СССР,Дело Румянцева,1955,детектив,7.6,841
СССР,Дело Румянцева,1955,драма,7.6,841
СССР,Дело Румянцева,1955,криминал,7.6,841
СССР,Детство Горького,1938,биография,7.5,968
СССР,Детство Горького,1938,драма,7.5,968
СССР,Джентльмены удачи,1971,комедия,8.4,70
СССР,Джентльмены удачи,1971,криминал,8.4,70
СССР,"Добро пожаловать, или Посторонним вход воспрещен",1964,комедия,7.9,351
СССР,"Добро пожаловать, или Посторонним вход воспрещен",1964,семейный,7.9,351
СССР,Добровольцы,1958,мелодрама,7.6,886
СССР,"Дом, в котором я живу",1957,драма,7.7,612
СССР,Дон Кихот,1957,драма,7.5,914
СССР,Дружок,1958,комедия,7.6,763
СССР,Дружок,1958,семейный,7.6,763
СССР,Ежик в тумане,1975,детский,8,267
СССР,Жди меня,1943,военный,7.7,688
СССР,Жди меня,1943,драма,7.7,688
СССР,Живые и мертвые,1963,военный,7.7,574
СССР,Живые и мертвые,1963,драма,7.7,574
СССР,Заколдованный мальчик,1955,анимация,7.8,547
СССР,Заколдованный мальчик,1955,семейный,7.8,547
СССР,Золотая антилопа,1954,анимация,7.8,487
СССР,Золушка,1947,семейный,7.8,553
СССР,Золушка,1947,сказка,7.8,553
СССР,Иван Васильевич меняет профессию,1973,комедия,8.4,81
СССР,Иван Васильевич меняет профессию,1973,фантастика,8.4,81
СССР,Иван Грозный,1944,биография,7.6,732
СССР,Идиот,1958,драма,7.8,520
СССР,Исполнение желаний,1957,анимация,7.7,713
СССР,Исполнение желаний,1957,короткометражный,7.7,713
СССР,Каменный цветок,1946,семейный,7.5,973
СССР,Каменный цветок,1946,сказка,7.5,973
СССР,Карнавальная ночь,1956,комедия,7.7,704
СССР,Карнавальная ночь,1956,мюзикл,7.7,704
СССР,Каштанка,1952,анимация,7.7,620
СССР,Конек-Горбунок,1947,анимация,7.7,594
СССР,Конец Санкт-Петербурга,1927,драма,7.6,842
СССР,Королевство Кривых Зеркал,1963,семейный,7.5,922
СССР,Королевство Кривых Зеркал,1963,сказка,7.5,922
СССР,Кошкин дом,1958,анимация,7.7,595
СССР,Кутузов,1944,драма,7.5,957
СССР,Летняя поездка к морю,1978,документальный,7.6,751
СССР,Летят журавли,1957,военный,7.8,477
СССР,Летят журавли,1957,драма,7.8,477
СССР,Летят журавли,1957,мелодрама,7.8,477
СССР,Любовь и голуби,1984,комедия,8.2,169
СССР,Любовь и голуби,1984,мелодрама,8.2,169
СССР,Максим Перепелица,1955,комедия,7.8,522
СССР,Мама,1976,мюзикл,7.7,675
СССР,Мама,1976,семейный,7.7,675
СССР,Мама,1976,сказка,7.7,675
СССР,Мать,1926,драма,7.6,817
СССР,Машенька,1942,военный,7.6,793
СССР,Машенька,1942,мелодрама,7.6,793
СССР,Мечта,1941,драма,7.5,930
СССР,Мимино,1978,комедия,7.8,495
СССР,Музыкальная история,1940,драма,7.5,976
СССР,Музыкальная история,1940,мюзикл,7.5,976
СССР,Мышонок Пик,1978,анимация,7.7,660
СССР,Неотправленное письмо,1959,драма,7.8,526
СССР,Неподдающиеся,1959,комедия,7.6,794
СССР,Новый Вавилон,1929,драма,7.5,992
СССР,Новый Вавилон,1929,исторический,7.5,992
СССР,Ночь перед Рождеством,1951,анимация,7.6,723
СССР,Обыкновенное чудо,1978,комедия,8,330
СССР,Обыкновенное чудо,1978,мелодрама,8,330
СССР,Обыкновенное чудо,1978,мюзикл,8,330
СССР,Обыкновенное чудо,1978,сказка,8,330
СССР,Ограбление по...,1988,анимация,7.9,405
СССР,Оранжевое горлышко,1954,анимация,7.5,978
СССР,Ореховый прутик,1955,анимация,7.7,659
СССР,Ореховый прутик,1955,короткометражный,7.7,659
СССР,Остров ошибок,1955,анимация,7.7,602
СССР,Остров ошибок,1955,короткометражный,7.7,602
СССР,Остров ошибок,1955,семейный,7.7,602
СССР,Отчий дом,1959,драма,7.7,715
СССР,Офицеры,1971,драма,7.9,406
СССР,Офицеры,1971,мелодрама,7.9,406
СССР,Петр Первый,1937,биография,7.5,975
СССР,Петр Первый,1937,военный,7.5,975
СССР,Петр Первый,1937,драма,7.5,975
СССР,Петя и Красная Шапочка,1958,анимация,7.7,705
СССР,Петя и Красная Шапочка,1958,короткометражный,7.7,705
СССР,По закону,1926,драма,7.8,475
СССР,По закону,1926,криминал,7.8,475
СССР,Подарок для самого слабого,1978,анимация,7.8,456
СССР,Подкидыш,1939,комедия,7.6,837
СССР,Подкидыш,1939,семейный,7.6,837
СССР,Покаяние,1984,драма,7.6,727
СССР,Покаяние,1984,комедия,7.6,727
СССР,Порожний рейс,1963,драма,7.7,604
СССР,Последний дюйм,1958,драма,7.6,813
СССР,Последний дюйм,1958,комедия,7.6,813
СССР,Последний дюйм,1958,приключения,7.6,813
СССР,Потоп,1974,исторический,7.6,848
СССР,Потоп,1974,мелодрама,7.6,848
СССР,Потоп,1974,приключения,7.6,848
СССР,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,1980,драма,8.1,187
СССР,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,1980,криминал,8.1,187
СССР,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,1980,мистика,8.1,187
СССР,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,1981,криминал,8.3,101
СССР,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,1981,мистика,8.3,101
СССР,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,1981,приключения,8.3,101
СССР,Пышка,1934,драма,7.5,924
СССР,Разные судьбы,1956,драма,7.7,679
СССР,Разные судьбы,1956,мелодрама,7.7,679
СССР,Ревизор,1952,комедия,7.5,996
СССР,Ромео и Джульетта,1955,драма,7.7,565
СССР,Ромео и Джульетта,1955,мелодрама,7.7,565
СССР,Ромео и Джульетта,1955,музыка,7.7,565
СССР,Свадьба,1944,комедия,7.8,489
СССР,Свадьба,1944,мелодрама,7.8,489
СССР,Серая Шейка,1948,анимация,7.6,764
СССР,Сердца четырех,1941,комедия,7.5,921
СССР,Сестры,1957,драма,7.6,897
СССР,Сибириада,1978,военный,7.8,502
СССР,Сибириада,1978,драма,7.8,502
СССР,Сибириада,1978,исторический,7.8,502
СССР,Сказка о мертвой царевне и семи богатырях,1951,анимация,7.6,752
СССР,Сказка о мертвой царевне и семи богатырях,1951,детский,7.6,752
СССР,Сказка о мертвой царевне и семи богатырях,1951,короткометражный,7.6,752
СССР,Сказка о рыбаке и рыбке,1950,анимация,7.7,607
СССР,Сказка о рыбаке и рыбке,1950,короткометражный,7.7,607
СССР,Сказка о рыбаке и рыбке,1950,семейный,7.7,607
СССР,Служебный роман,1977,комедия,8.2,173
СССР,Служебный роман,1977,мелодрама,8.2,173
СССР,Снежная королева,1957,анимация,7.8,488
СССР,Снежная королева,1957,драма,7.8,488
СССР,Снежная королева,1957,семейный,7.8,488
СССР,Снежная королева,1957,фэнтези,7.8,488
СССР,Солдат Иван Бровкин,1955,комедия,7.6,861
СССР,Солдат Иван Бровкин,1955,мюзикл,7.6,861
СССР,Солдат Иван Бровкин,1955,приключения,7.6,861
СССР,Сорок первый,1956,драма,7.6,862
СССР,Сталкер,1979,криминал,7.6,725
СССР,Сталкер,1979,фантастика,7.6,725
СССР,Стрела улетает в сказку,1954,анимация,7.6,880
СССР,Стрела улетает в сказку,1954,детский,7.6,880
СССР,Стрела улетает в сказку,1954,короткометражный,7.6,880
СССР,Судьба человека,1959,военный,7.7,596
СССР,Судьба человека,1959,драма,7.7,596
СССР,Счастье,1934,драма,7.6,834
СССР,Счастье,1934,комедия,7.6,834
СССР,Таёжная сказка,1951,анимация,7.5,903
СССР,Таёжная сказка,1951,короткометражный,7.5,903
СССР,Тайна третьей планеты,1981,анимация,8,294
СССР,Тайна третьей планеты,1981,приключения,8,294
СССР,Тайна третьей планеты,1981,семейный,8,294
СССР,Тайна третьей планеты,1981,фантастика,8,294
СССР,Третья Мещанская,1924,драма,7.6,879
СССР,Третья Мещанская,1924,комедия,7.6,879
СССР,Три дровосека,1959,анимация,7.7,621
СССР,Три плюс два,1963,комедия,7.7,606
СССР,Трое из Простоквашино,1978,анимация,8.3,127
СССР,Трое из Простоквашино,1978,короткометражный,8.3,127
СССР,Трое из Простоквашино,1978,семейный,8.3,127
СССР,Ханума,1978,комедия,7.9,370
СССР,Ханума,1978,мюзикл,7.9,370
СССР,Храбрый заяц,1955,анимация,7.5,932
СССР,Храбрый заяц,1955,короткометражный,7.5,932
СССР,Храбрый олененок,1957,анимация,7.7,575
СССР,Храбрый олененок,1957,короткометражный,7.7,575
СССР,Царевна-лягушка,1954,анимация,7.7,624
СССР,Царевна-лягушка,1954,короткометражный,7.7,624
СССР,Цветик-Семицветик,1948,анимация,7.6,877
СССР,Чапаев,1934,военный,7.6,765
СССР,Чапаев,1934,драма,7.6,765
СССР,Чапаев,1934,исторический,7.6,765
СССР,Человек из ресторана,1927,драма,7.6,852
СССР,Человек родился,1956,драма,7.6,898
СССР,Человек родился,1956,мелодрама,7.6,898
СССР,Человек с бульвара Капуцинов,1987,вестерн,7.8,548
СССР,Человек с бульвара Капуцинов,1987,комедия,7.8,548
СССР,Человек с бульвара Капуцинов,1987,мелодрама,7.8,548
СССР,Человек с бульвара Капуцинов,1987,мюзикл,7.8,548
СССР,Человек с киноаппаратом,1929,документальный,8.1,214
СССР,Чук и Гек,1953,драма,7.5,950
СССР,Чук и Гек,1953,комедия,7.5,950
СССР,Чук и Гек,1953,семейный,7.5,950
СССР,Шведская спичка,1954,комедия,7.8,486
СССР,Шинель,1959,драма,7.6,795
СССР,Я купил папу,1963,комедия,7.7,569
СССР,Я купил папу,1963,семейный,7.7,569
СССР,Я шагаю по Москве,1963,комедия,7.8,467
СССР,Я шагаю по Москве,1963,мелодрама,7.8,467
США,«V» значит Вендетта,2005,боевик,7.7,617
США,«V» значит Вендетта,2005,драма,7.7,617
США,«V» значит Вендетта,2005,триллер,7.7,617
США,«V» значит Вендетта,2005,фантастика,7.7,617
США,"007: Координаты ""Скайфолл""",2012,боевик,7.8,539
США,"007: Координаты ""Скайфолл""",2012,приключения,7.8,539
США,"007: Координаты ""Скайфолл""",2012,триллер,7.8,539
США,101 далматинец,1961,анимация,7.8,509
США,101 далматинец,1961,приключения,7.8,509
США,101 далматинец,1961,семейный,7.8,509
США,12 лет рабства,2013,биография,7.8,521
США,12 лет рабства,2013,драма,7.8,521
США,12 лет рабства,2013,исторический,7.8,521
США,12 обезьян,1995,драма,7.7,672
США,12 обезьян,1995,фантастика,7.7,672
США,127 часов,2010,драма,7.7,709
США,1917,2019,военный,7.9,378
США,1917,2019,драма,7.9,378
США,2001 год: Космическая одиссея,1968,приключения,7.8,529
США,2001 год: Космическая одиссея,1968,фантастика,7.8,529
США,300 спартанцев,2007,боевик,7.9,375
США,300 спартанцев,2007,драма,7.9,375
США,300 спартанцев,2007,приключения,7.9,375
США,500 дней лета,2009,драма,7.5,982
США,500 дней лета,2009,комедия,7.5,982
США,500 дней лета,2009,мелодрама,7.5,982
США,FORD против FERRARI,2019,биография,8.5,62
США,FORD против FERRARI,2019,драма,8.5,62
США,FORD против FERRARI,2019,спорт,8.5,62
США,GOAT: Мечтай по крупному,2026,анимация,7.6,843
США,GOAT: Мечтай по крупному,2026,боевик,7.6,843
США,GOAT: Мечтай по крупному,2026,комедия,7.6,843
США,GOAT: Мечтай по крупному,2026,музыка,7.6,843
США,GOAT: Мечтай по крупному,2026,приключения,7.6,843
США,GOAT: Мечтай по крупному,2026,семейный,7.6,843
США,Irklais per Atlanta,2024,документальный,8.7,26
США,Lil Peep: Всё для всех,2019,документальный,7.7,673
США,Stray Kids: The dominATE Experience,2026,документальный,9,4
США,Stray Kids: The dominATE Experience,2026,музыка,9,4
США,Аватар,2009,боевик,8.4,76
США,Аватар,2009,триллер,8.4,76
США,Аватар,2009,фантастика,8.4,76
США,Аватар 2: Путь воды,2022,боевик,8.2,146
США,Аватар 2: Путь воды,2022,приключения,8.2,146
США,Аватар 2: Путь воды,2022,фантастика,8.2,146
США,Аватар: Пламя и пепел,2025,боевик,8.1,236
США,Аватар: Пламя и пепел,2025,приключения,8.1,236
США,Аватар: Пламя и пепел,2025,фантастика,8.1,236
США,Аватар: Пламя и пепел,2025,фэнтези,8.1,236
США,Агент Эмерсон,2019,боевик,7.9,374
США,Агент Эмерсон,2019,приключения,7.9,374
США,Агенты А.Н.К.Л.,2015,боевик,7.5,963
США,Агенты А.Н.К.Л.,2015,комедия,7.5,963
США,Агенты А.Н.К.Л.,2015,приключения,7.5,963
США,Адвокат дьявола,1997,драма,8,300
США,Адвокат дьявола,1997,триллер,8,300
США,Адреналин,2006,боевик,7.5,926
США,Адреналин,2006,драма,7.5,926
США,Адреналин,2006,триллер,7.5,926
США,Аквамен,2018,боевик,7.5,905
США,Аквамен,2018,приключения,7.5,905
США,Аквамен,2018,фантастика,7.5,905
США,Аладдин,1992,анимация,8.1,193
США,Аладдин,1992,комедия,8.1,193
США,Аладдин,1992,мюзикл,8.1,193
США,Аладдин,1992,приключения,8.1,193
США,Аладдин,1992,семейный,8.1,193
США,Аладдин,1992,сказка,8.1,193
США,Аладдин,2019,мюзикл,7.6,833
США,Аладдин,2019,приключения,7.6,833
США,Алита: Боевой ангел,2018,боевик,7.8,490
США,Алита: Боевой ангел,2018,мелодрама,7.8,490
США,Алита: Боевой ангел,2018,приключения,7.8,490
США,Алита: Боевой ангел,2018,фантастика,7.8,490
США,Американская история Х,1998,драма,8.2,185
США,Американская история Х,1998,криминал,8.2,185
США,Американский психопат,2000,драма,7.6,720
США,Американский психопат,2000,триллер,7.6,720
США,Американский психопат,2000,ужасы,7.6,720
США,Анастасия,1997,анимация,7.7,677
США,Анастасия,1997,драма,7.7,677
США,Анастасия,1997,мюзикл,7.7,677
США,Анастасия,1997,приключения,7.7,677
США,Анастасия,1997,семейный,7.7,677
США,Анастасия,1997,сказка,7.7,677
США,Ангелы с грязными лицами,1938,драма,7.9,390
США,Ангелы с грязными лицами,1938,криминал,7.9,390
США,Ангелы с грязными лицами,1938,нуар,7.9,390
США,Ангелы с грязными лицами,1938,триллер,7.9,390
США,Аниматрица,2003,аниме,7.5,949
США,Аниматрица,2003,боевик,7.5,949
США,Аниматрица,2003,приключения,7.5,949
США,Апокалипсис,2006,боевик,8.1,213
США,Апокалипсис,2006,драма,8.1,213
США,Апокалипсис,2006,приключения,8.1,213
США,Апокалипсис сегодня,1979,боевик,8,308
США,Апокалипсис сегодня,1979,военный,8,308
США,Апокалипсис сегодня,1979,драма,8,308
США,Арахисовый сокол,2019,приключения,7.7,678
США,"Артур, ты король",2024,приключения,8,249
США,"Артур, ты король",2024,семейный,8,249
США,Байкеры,2024,драма,7.6,806
США,Байкеры,2024,криминал,7.6,806
США,Банды Нью-Йорка,2002,драма,7.7,581
США,Банды Нью-Йорка,2002,исторический,7.7,581
США,Бегущий по лезвию,1982,драма,7.8,545
США,Бегущий по лезвию,1982,фантастика,7.8,545
США,Бегущий по лезвию 2049,2017,триллер,7.7,649
США,Бегущий по лезвию 2049,2017,фантастика,7.7,649
США,Бедные-несчастные,2023,драма,7.9,411
США,Бедные-несчастные,2023,мелодрама,7.9,411
США,Бедные-несчастные,2023,фантастика,7.9,411
США,Безумный Макс: Дорога ярости,2015,боевик,8,250
США,Безумный Макс: Дорога ярости,2015,приключения,8,250
США,Белая птица. Новое чудо,2023,биография,8.1,244
США,Белая птица. Новое чудо,2023,военный,8.1,244
США,Белая птица. Новое чудо,2023,драма,8.1,244
США,Белоснежка и семь гномов,1937,анимация,7.6,756
США,Белоснежка и семь гномов,1937,драма,7.6,756
США,Белоснежка и семь гномов,1937,мюзикл,7.6,756
США,Белоснежка и семь гномов,1937,семейный,7.6,756
США,Белоснежка и семь гномов,1937,сказка,7.6,756
США,Белый плен,2005,драма,7.6,787
США,Белый плен,2005,мелодрама,7.6,787
США,Белый плен,2005,приключения,7.6,787
США,Белый плен,2005,семейный,7.6,787
США,Бёрдмэн,2014,комедия,7.6,814
США,Бесподобный мистер Фокс,2009,анимация,7.6,746
США,Бесподобный мистер Фокс,2009,комедия,7.6,746
США,Бесподобный мистер Фокс,2009,приключения,7.6,746
США,Бесславные ублюдки,2009,боевик,8,306
США,Бесславные ублюдки,2009,военный,8,306
США,Бесславные ублюдки,2009,драма,8,306
США,Бесславные ублюдки,2009,приключения,8,306
США,Бешеные псы,1992,триллер,8,305
США,"Билли Айлиш - Тур ""Hit Me Hard and Soft""",2026,документальный,8,270
США,Битва за битвой,2025,драма,7.6,721
США,Битва за битвой,2025,криминал,7.6,721
США,Битва за битвой,2025,триллер,7.6,721
США,Битлджюс,1988,комедия,7.7,640
США,Битлджюс,1988,сказка,7.7,640
США,Битлджюс,1988,ужасы,7.7,640
США,Блэйд,1998,боевик,8,291
США,Блэйд,1998,триллер,8,291
США,Блэйд,1998,ужасы,8,291
США,Блэйд 2,2002,боевик,8.1,229
США,Блэйд 2,2002,приключения,8.1,229
США,Блэйд 2,2002,триллер,8.1,229
США,Блэйд 2,2002,фэнтези,8.1,229
США,Богемская рапсодия,2018,биография,8.2,147
США,Богемская рапсодия,2018,драма,8.2,147
США,Богемская рапсодия,2018,мюзикл,8.2,147
США,Боец,2010,драма,7.8,449
США,Бойцовский клуб,1999,боевик,8.6,32
США,Бойцовский клуб,1999,драма,8.6,32
США,Бойцовский клуб,1999,триллер,8.6,32
США,Брат 2,2000,боевик,8.1,210
США,Брат 2,2000,криминал,8.1,210
США,Братья Супер Марио в кино,2023,анимация,7.8,519
США,Братья Супер Марио в кино,2023,комедия,7.8,519
США,Братья Супер Марио в кино,2023,приключения,7.8,519
США,Бронкская история,1993,боевик,8.2,174
США,Бронкская история,1993,драма,8.2,174
США,Брюс Всемогущий,2003,комедия,7.5,974
США,Брюс Всемогущий,2003,сказка,7.5,974
США,Быстрее пули,2022,боевик,7.5,906
США,Бэтмен,2022,боевик,8.1,202
США,Бэтмен,2022,криминал,8.1,202
США,Бэтмен,2022,фантастика,8.1,202
США,Бэтмен: начало,2005,боевик,8.5,45
США,Бэтмен: начало,2005,криминал,8.5,45
США,Бэтмен: начало,2005,приключения,8.5,45
США,Бэтмен: начало,2005,сказка,8.5,45
США,Бэтмен: начало,2005,триллер,8.5,45
США,В метре друг от друга,2019,драма,7.8,493
США,В метре друг от друга,2019,мелодрама,7.8,493
США,В погоне за счастьем,2006,драма,8.2,177
США,В погоне за счастьем,2006,комедия,8.2,177
США,В поисках Немо,2003,анимация,7.9,346
США,В поисках Немо,2003,комедия,7.9,346
США,В поисках Немо,2003,приключения,7.9,346
США,В поисках Немо,2003,семейный,7.9,346
США,Вoдопад жизни,1920,драма,7.7,562
США,Вoдопад жизни,1920,мелодрама,7.7,562
США,Вавилон,2006,драма,7.5,983
США,Вавилон,2006,триллер,7.5,983
США,ВАЛЛ-И,2008,анимация,8.5,55
США,ВАЛЛ-И,2008,семейный,8.5,55
США,ВАЛЛ-И,2008,фэнтези,8.5,55
США,Вверх,2009,анимация,8.1,219
США,Вверх,2009,приключения,8.1,219
США,Вверх,2009,семейный,8.1,219
США,Великий Гэтсби,2013,драма,7.5,1000
США,Великий Гэтсби,2013,исторический,7.5,1000
США,Великий диктатор,1940,военный,8.4,67
США,Великий диктатор,1940,драма,8.4,67
США,Великий диктатор,1940,комедия,8.4,67
США,Великий уравнитель,2014,боевик,7.5,902
США,Великий уравнитель,2014,криминал,7.5,902
США,Великий уравнитель,2014,триллер,7.5,902
США,Величайший шоумен,2018,биография,7.8,516
США,Величайший шоумен,2018,драма,7.8,516
США,Величайший шоумен,2018,мюзикл,7.8,516
США,Веном,2018,боевик,7.6,894
США,Веном,2018,триллер,7.6,894
США,Веном,2018,фантастика,7.6,894
США,Веном: Последний танец,2024,боевик,7.5,964
США,Веном: Последний танец,2024,приключения,7.5,964
США,Веном: Последний танец,2024,фантастика,7.5,964
США,Веселый развод,1934,комедия,7.8,464
США,Веселый развод,1934,мелодрама,7.8,464
США,Веселый развод,1934,мюзикл,7.8,464
США,Ветреная река,2017,триллер,7.7,609
США,Вечное сияние чистого разума,2004,драма,8.3,99
США,Вечное сияние чистого разума,2004,комедия,8.3,99
США,Вечное сияние чистого разума,2004,мелодрама,8.3,99
США,Вечность,2025,драма,7.8,501
США,Вечность,2025,комедия,7.8,501
США,Вечность,2025,фэнтези,7.8,501
США,Виноваты звезды,2014,драма,7.6,884
США,Властелин Колец: Братство Кольца,2001,боевик,8.8,11
США,Властелин Колец: Братство Кольца,2001,приключения,8.8,11
США,Властелин Колец: Братство Кольца,2001,фэнтези,8.8,11
США,Властелин Колец: Возвращение Короля,2003,фэнтези,8.7,29
США,Властелин Колец: Две крепости,2002,драма,8.7,27
США,Властелин Колец: Две крепости,2002,приключения,8.7,27
США,Властелин Колец: Две крепости,2002,фэнтези,8.7,27
США,Воин,2011,боевик,8,334
США,Воин,2011,драма,8,334
США,Волк с Уолл-стрит,2013,драма,8,285
США,Волк с Уолл-стрит,2013,криминал,8,285
США,Волшебная страна,2004,биография,7.6,767
США,Волшебная страна,2004,драма,7.6,767
США,Волшебная страна,2004,семейный,7.6,767
США,Волшебник страны Оз,1939,мюзикл,7.9,363
США,Волшебник страны Оз,1939,приключения,7.9,363
США,Волшебник страны Оз,1939,семейный,7.9,363
США,Волшебник страны Оз,1939,сказка,7.9,363
США,Вольт,2008,анимация,7.5,987
США,Вольт,2008,комедия,7.5,987
США,Вольт,2008,семейный,7.5,987
США,Вонка,2023,комедия,7.5,916
США,Вонка,2023,приключения,7.5,916
США,Вонка,2023,семейный,7.5,916
США,Воровка книг,2014,драма,7.7,634
США,Воспитание крошки,1938,комедия,8,302
США,Воспитание крошки,1938,мелодрама,8,302
США,Восстание планеты обезьян,2011,боевик,7.8,494
США,Восстание планеты обезьян,2011,приключения,7.8,494
США,Восстание планеты обезьян,2011,фантастика,7.8,494
США,Восход солнца,1927,драма,7.9,355
США,Восход солнца,1927,криминал,7.9,355
США,Восход солнца,1927,мелодрама,7.9,355
США,Вперёд,2019,анимация,7.7,557
США,Вперёд,2019,комедия,7.7,557
США,Вперёд,2019,приключения,7.7,557
США,Вперёд,2019,семейный,7.7,557
США,Вперёд,2019,фэнтези,7.7,557
США,Время,2011,фантастика,7.5,942
США,Время свинга,1936,комедия,7.6,885
США,Время свинга,1936,мелодрама,7.6,885
США,Время свинга,1936,мюзикл,7.6,885
США,"Всегда говори ""Да""",2008,комедия,7.5,955
США,Вспомнить все,1990,боевик,7.7,571
США,Вспомнить все,1990,приключения,7.7,571
США,Вспомнить все,1990,триллер,7.7,571
США,Вспомнить все,1990,ужасы,7.7,571
США,Вспомнить все,1990,фантастика,7.7,571
США,Выживший,2015,драма,7.9,341
США,Выживший,2015,приключения,7.9,341
США,Выстрел в пустоту,2017,драма,7.6,798
США,Выстрел в пустоту,2017,криминал,7.6,798
США,Выстрел в пустоту,2017,триллер,7.6,798
США,Гадкий я,2010,анимация,7.9,343
США,Гадкий я,2010,семейный,7.9,343
США,Гадкий я 2,2013,анимация,7.6,797
США,Гадкий я 2,2013,семейный,7.6,797
США,Газовый свет,1944,драма,8,252
